#Prestal File V0.0.1	2025-3-6_14-27-53_17272
#Generate by ../../../JHS_ana_v05/JHS_ana/testdata/20250226091806_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
5 18 598.557 8.38929 21.8457
5 19 602.313 9.02853 16.1032
5 20 599.813 8.36647 10.4239
5 21 614.278 8.70627 19.1316
5 22 624.756 8.7012 7.78683
5 23 606.39 8.56405 15.6906
5 24 583.892 7.05441 11.8836
5 25 613.762 8.57314 30.9153
5 26 604.22 7.65428 7.23763
5 27 616.939 9.04714 25.7022
5 28 611.32 7.58631 14.3646
5 29 610.752 8.26438 33.695
5 30 614.517 8.20127 7.92731
5 31 605.15 8.62505 12.8036
5 32 695.122 6.30101 71.9921
5 33 636.642 10.1595 113.313
5 34 640.402 6.68162 5.62575
5 35 638.103 10.4924 66.2347
5 36 662.124 7.19079 4.23723
5 37 625.266 9.23707 35.3199
5 38 673.1 6.91435 3.63036
5 39 655.756 9.28247 59.5912
5 40 621.855 7.18316 7.93797
5 41 625.55 9.81327 82.6708
5 42 702.371 6.0526 18.5404
5 43 679.945 6.77455 63.1148
5 44 664.733 6.36864 8.01352
5 45 633.897 8.74825 61.3057
5 46 691.804 6.37949 5.82903
5 47 679.703 7.42777 31.319
5 48 627.431 6.10194 47.0669
5 49 628.074 6.38668 13.6685
5 50 609.237 6.07122 4.15601
5 51 602.897 6.67918 24.8504
5 52 596.231 6.23551 4.42591
5 53 600.167 7.91231 49.8038
5 54 620.63 6.01478 2.54451
5 55 615.604 7.09943 33.3816
5 56 622.41 7.42697 16.3456
5 57 640.864 7.47678 81.5905
5 58 614.145 5.96068 17.7612
5 59 683.492 6.61176 47.126
5 60 691.163 6.04013 16.4052
5 61 668.904 7.92288 48.7068
5 62 663.181 7.69963 9.71133
5 63 632.181 7.67778 69.6118
5 64 716.141 6.78219 4.20288
5 65 688.529 14.6723 1.88447
5 66 607.447 8.11786 4.92791
5 67 634.922 7.44928 6.30932
5 68 624.899 7.92232 4.24588
5 69 602.642 7.73338 6.75009
5 70 598.601 8.8313 5.20698
5 71 619.132 9.27618 21.5662
5 72 679.85 8.0003 4.76176
5 73 644.584 9.16028 54.4233
5 74 618.853 10.1969 16.6423
5 75 672.622 10.7313 25.7025
5 76 611.869 9.93245 45.1768
5 77 603.564 10.3306 32.1868
5 78 619.548 9.161 16.2621
5 79 611.119 9.24261 12.1493
5 80 644.414 8.88299 80.9158
5 81 618.452 9.70719 14.9889
5 82 656.458 9.05413 15.301
5 83 626.637 10.6394 50.2176
5 84 609.519 10.1085 13.6592
5 85 643.178 9.67426 15.4526
5 86 610.818 10.1886 30.3524
5 87 610.542 9.3467 17.0166
5 88 655.664 8.70424 7.18356
5 89 653.177 8.47877 7.44362
5 90 628.516 10.0145 23.6837
5 91 623.649 10.8613 31.8286
5 92 623.522 10.203 13.6074
5 93 655.957 9.25944 13.3884
5 94 631.587 8.26827 7.90769
5 95 616.66 10.7948 16.9761
5 96 610.039 7.89436 6.72909
5 97 583.933 11.3479 40.1877
5 98 569.22 8.54845 5.84594
5 99 582.739 11.101 27.5513
5 100 586.019 8.84282 74.1272
5 101 595.365 8.12369 79.5154
5 102 601.164 11.0057 21.4463
5 103 581.344 9.24211 10.8535
5 104 603.057 8.84267 64.4144
5 105 597.065 7.86109 6.4462
5 106 570.743 9.46846 35.9433
5 107 603.694 11.9475 39.8751
5 108 596.194 12.4884 77.6772
5 109 585.042 10.9765 59.4302
5 110 606.153 8.76081 13.7989
5 111 603.209 11.502 62.216
